,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
0,0,0,397873.4679939258,5937899.249215421,0.0,0.0,0.0,53.57999069859999,103.4574251838,470.0
1,1,1,398405.69299392577,5937749.894215421,532.225,-149.355,-4.851,53.57875205492455,103.46550963387924,465.149
2,2,2,398402.9629939258,5937750.674215421,529.495,-148.575,-4.736,53.57875853470791,103.46546816208136,465.264
3,3,3,398400.9999939258,5937748.680215421,527.532,-150.569,-4.67,53.57874023774688,103.46543917340195,465.33
4,4,4,398399.7189939258,5937742.9722154215,526.251,-156.277,-4.515,53.578688701379654,103.4654216904775,465.485
5,5,5,398397.6809939258,5937742.886215421,524.213,-156.363,-4.476,53.57868753388231,103.46539094849521,465.524
6,6,6,398396.1239939258,5937746.724215421,522.656,-152.525,-4.63,53.578721717968214,103.4653661915147,465.37
7,7,7,398396.29599392577,5937755.120215422,522.828,-144.129,-4.772,53.57879719208167,103.46536605563155,465.228
8,8,8,398388.07899392577,5937758.799215421,514.611,-140.45,-4.601,53.57882865735754,103.46524079649453,465.399
9,9,9,398384.3429939258,5937760.476215421,510.875,-138.773,-4.48,53.57884300199417,103.46518384382533,465.52
10,10,10,398377.6029939258,5937762.907215421,504.135,-136.342,-4.639,53.578863539549445,103.46508129072298,465.361
11,11,11,398376.5129939258,5937761.338215421,503.045,-137.911,-4.361,53.57884923039672,103.46506534449074,465.639
12,12,12,398372.9899939258,5937762.961215422,499.522,-136.288,-4.476,53.57886313101036,103.46501162522902,465.524
13,13,13,398372.3849939258,5937765.488215421,498.917,-133.761,-4.673,53.57888571970574,103.46500166813223,465.327
14,14,14,398365.9549939258,5937768.085215421,492.487,-131.164,-4.706,53.578907808733796,103.46490374123479,465.294
15,15,15,398365.9579939258,5937768.081215422,492.49,-131.168,-4.707,53.57890777337379,103.46490378783173,465.293
16,16,16,398361.11199392576,5937770.906215421,487.644,-128.343,-4.95,53.57893221791302,103.4648297021524,465.05
17,17,17,398358.81299392576,5937773.916215422,485.345,-125.333,-5.22,53.57895881824737,103.46479401130067,464.78
