,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
0,0,0,397873.4679939258,5937899.249215421,0.0,0.0,0.0,53.57999069859999,103.4574251838,470.0
1,212,1,398527.4399939258,5937639.682215421,653.972,-259.567,-4.407,53.5777853298116,103.46738361402848,465.593
2,213,2,398523.9899939258,5937645.761215421,650.522,-253.488,-4.677,53.57783928426099,103.46732955055195,465.323
3,214,3,398519.8789939258,5937643.951215421,646.411,-255.298,-4.501,53.57782222549625,103.46726807173684,465.499
4,215,4,398521.7179939258,5937648.651215421,648.25,-250.598,-4.749,53.57786481234651,103.4672943088389,465.251
5,216,5,398523.3689939258,5937647.371215422,649.901,-251.878,-5.909,53.577853630515484,103.4673196514525,464.091
6,217,6,398519.9909939258,5937644.647215421,646.523,-254.602,-4.862,53.577828500957395,103.46726953644514,465.138
7,218,7,398508.8299939258,5937662.287215421,635.362,-236.962,-4.626,53.57798484290806,103.46709529470296,465.374
8,219,8,398497.2049939258,5937672.893215422,623.737,-226.356,-4.718,53.57807789196948,103.46691633331564,465.282
9,220,9,398493.3269939258,5937678.992215421,619.859,-220.257,-4.89,53.578131943080734,103.4668558004484,465.11
10,221,10,398490.0339939258,5937681.791215422,616.566,-217.458,-4.909,53.57815645577199,103.46680517279647,465.091
11,222,11,398489.2279939258,5937679.331215422,615.76,-219.918,-4.784,53.57813419587426,103.46679380378318,465.216
12,223,12,398487.2019939258,5937676.552215422,613.734,-222.697,-4.67,53.57810883355326,103.46676411904365,465.33
13,224,13,398487.0739939258,5937674.118215421,613.606,-225.131,-4.613,53.57808693848188,103.46676297799767,465.387
14,225,14,398485.4189939258,5937674.160215422,611.951,-225.089,-4.591,53.578086995576584,103.46673797728648,465.409
15,226,15,398484.6909939258,5937671.536215421,611.223,-227.713,-4.592,53.57806327717346,103.46672783929417,465.408
16,227,16,398482.8699939258,5937672.257215422,609.402,-226.992,-4.548,53.57806940317502,103.46670011153813,465.452
